"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","666480446.927374","737430167.597765","763687150.837989","837988826.815642","894972067.039106","925139664.804469","956424581.005587","1017318435.75419","1087709497.2067","1148603351.95531","1228491620.11173","1320111731.84358","1476536312.84916","1517318435.75419","1420111731.84358","1445251396.64804","1567597765.36313","1582681564.24581","1606703910.61453","1621229050.27933","1558100558.65922","1483240223.46369","1491620111.73184","",
"Afghanistan","AFG","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","466666655.555556","477777737.777778","466666655.555556","702222244.444445","762222182.222222","995555555.555556","1422222222.22222","1711111100","1371111151.11111","1386666666.66667","1691108966.66667","1826664357.77778","1544444495.55556","1637777771.11111","1984444462.22222","2173333413.33333","2248888957.77778","2680000057.77778","2942222153.33333","","","","","","","","","","","","","","","","","","","","","","","","5012444068.47577","6213074724.66051","6740627903.27845","7643066978.83967","8225053078.55626","11372842284.9386","12021857918.4348","12676115359.4306","15877807766.3755","17151716713.2879","17227112911.9646","17175718890.9973","16895981506.5357","16861494633.1266","15740023931.8841","15688510539.9261","",
"Angola","AGO","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3923830541.43867","6344721595.58192","7651123296.55807","9800829289.43015","11813247268.5009","15215079117.2119","20220191093.0161","25495565974.6193","29678121204.8028","29998335860.0914","37988814786.5617","45343032164.9505","51338441412.6629","64793469846.684","61285178783.9021","56655442161.5264","69833448902.3066","",
"Albania","ALB","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","1169370651.42459","1182331059.46525","1309162500","1337825025","1370649987.5","1453374975","1271486850","1036054826.38889","1079374622.9967","1468051508.63442","1903197900.5171","2191517724.85774","3012060414.03307","2211622358.55487","2408897856.57581","2779674149.16727","2879465029.72057","3067457886.67688","3479963078.44833","4507740317.46189","5547255007.76269","6195705830.46211","6905407967.51183","8730524539.43971","10703597132.5926","9739276738.53236","9316072136.42189","10093473412.9541","9605350484.26486","10224778009.0036","10686751511.1984","9188660281.61142","9661054495.33554","10424316769.8995","",
"Andorra","AND","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","20057802327.0976","22171684491.3713","25411016893.4545","29387666402.5089","36837075058.9073","49957281746.2716","58878338439.9753","78051753363.2599","90456810288.7368","111702935357.224","134125479835.313","147564247395.732","166677923830.458","172453085227.479","181863119199.688","189616625316.267","193737557960.232","203141952389.858","201090458307.884","223307557863.548","265946656225.448","261573656971.995","272296012236.99","293645922847.72","297390918101.815","319235922030.054","342356413201.907","359395298616.408","368407365638.969","374752757505.022","377085673283.052","378623972888.877","383755706745.767","404942299228.28","451621818334.682","508475491769.205","590159000543.404","712880233062.642","857513816653.938","872610000441.699","942028510722.05","1007265856324.01","1119543543963.55","1212975891099.17","1312334864467.96","1319373730911.42","1353567883030.02","1333577193921.18","",
"United Arab Emirates","ARE","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61087542545.9496","67397140912.1852","72834581347.8557","89820830496.9367","101765010211.028","124444656228.727","155274063989.108","184182981620.15","132573723621.511","141184751531.654","137079101429.544","123074744724.302","132667665078.285","147912593601.089","126709326072.158","129198910823.69","133570047651.464","",
"Argentina","ARG","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","16395100920.6536","13112305455.0693","17583550655.2055","19106470077.1627","19179524090.0761","16142121567.5792","17818286029.1255","20788000652.075","20514474652.8526","22087199393.1043","23061625752.1497","34502333869.7978","46339887781.9045","30479729906.697","28960251673.5518","32792999466.8785","33769836090.145","43597131259.9852","","","","","","","","83810953046.2784","93037499273.339","56337114317.025","109038330772.079","152618772836.917","187278415202.907","163839382682.683","180006952200","176908603000","186487153500","203028516700","206433800000","198869454200","197044177500","185164262200","60489618364.2844","80632168516.4444","105926917928.179","125262782955.786","147139416222.713","179796371906.655","228051225933.264","209702422221.036","272113324478.662","340472562735.7","354361120355.997","364267951166.433","344124011884.784","391974496653.948","365612177575.856","419454312638.889","",
"Armenia","ARM","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1097242665.01944","1184944606.91268","1198033684.9616","1121936841.55067","1240030797.111","1558290669.99803","1601936977.85618","1692914777.14486","1891036669.97027","1772487205.78507","1849108288.00508","1977193456.56325","2105439958.14075","2332157851.99648","2943764176.58637","3693096743.64724","4606449277.52209","6584287084.47841","8332307086.91784","6932237182.38631","7571827902.60143","8441507121.19085","9256248444.36037","9694642206.28735","9931611575.11616","8240058394.91813","8151773342.19654","8922440173.98207","",
"American Samoa","ASM","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312000000","332000000","357000000","367000000","375000000","383000000","407000000","398000000","402000000","414000000","424000000","447000000","455000000","444000000","446000000","460000000","",
