Wealth shares,,bottom 0.9,top 0.1-0.01,top 0.01,,Income shares,bottom 0.9,top 0.1-0.01,top 0.01,,Savings rate,bottom 0.9,top 0.1-0.01,top 0.01,,Average savings rate,Wealth income ratio,Yt/Wt,National income (deflated),Total wealth (deflated),,Asset price change rate,,Relative asset price effects: (1+qp) / (1+q),Bottom 90%,Top 10%,Top 1%
,1917,0.20488,0.38431,0.41082,,,0.6057,0.18387,0.21042,,,0.03933,0.55614,0.24288,,0.17719,4.01112,0.24931,669.16395,2684.09745,,-0.12511,,,1.04194,0.98974,0.94771
,1918,0.22236,0.40375,0.3739,,,0.60915,0.20101,0.18984,,,0.06288,0.48914,0.14833,,0.16478,3.48848,0.28666,702.89271,2452.02366,,-0.04411,,,1.02167,0.99397,0.97803
,1919,0.20634,0.39393,0.39973,,,0.61067,0.1975,0.19183,,,0.01799,0.26035,0.43368,,0.1456,3.609,0.27708,680.12477,2454.57236,,-0.14046,,,1.00721,0.99814,0.99631
,1920,0.22741,0.4166,0.35599,,,0.62275,0.20295,0.1743,,,0.10974,0.33199,-0.30019,,0.0834,3.22789,0.3098,679.98309,2194.91276,,0.08616,,,1.04237,0.98818,0.95995
,1921,0.2259,0.41461,0.35949,,,0.57986,0.23468,0.18546,,,-0.01727,0.32067,-0.05461,,0.05512,3.91129,0.25567,625.26954,2445.61295,,0.11372,,,0.94284,1.01801,1.05991
,1922,0.21392,0.39514,0.39094,,,0.57862,0.22367,0.1977,,,-0.03893,0.35354,0.18967,,0.09405,4.0151,0.24906,687.92995,2762.10548,,-0.00457,,,0.99567,1.00118,1.01964
,1923,0.20747,0.44507,0.34746,,,0.60041,0.21809,0.18151,,,-0.0042,0.20955,0.24218,,0.08713,3.56608,0.28042,789.07189,2813.89319,,0.01505,,,1.00116,0.9997,1.012
,1924,0.19316,0.43891,0.36793,,,0.57428,0.22616,0.19956,,,-0.06912,-0.04084,0.69817,,0.0904,3.6761,0.27203,795.96176,2926.03256,,0.03853,,,0.97168,1.00703,1.03807
,1925,0.17701,0.39244,0.43055,,,0.56553,0.21336,0.22111,,,0.0098,-0.24763,0.68323,,0.10378,3.77625,0.26481,824.49814,3113.50759,,0.01484,,,1.01528,0.99677,1.00399
,1926,0.16978,0.37897,0.45126,,,0.56753,0.2104,0.22207,,,-0.00605,-0.25403,0.66019,,0.08973,3.6972,0.27047,878.10569,3246.53389,,0.05103,,,0.96493,1.00749,1.01429
,1927,0.16107,0.34433,0.49461,,,0.56154,0.20696,0.2315,,,-0.0002,-0.04967,0.40809,,0.08408,3.98291,0.25107,877.50254,3495.01313,,0.11944,,,0.98677,1.00258,0.99876
,1928,0.15562,0.33028,0.5141,,,0.54882,0.20072,0.25046,,,0.02385,0.12164,0.19821,,0.08715,4.42572,0.22595,902.68551,3995.03106,,0.02979,,,0.98119,1.00355,1.00735
,1929,0.15742,0.33705,0.50553,,,0.57119,0.19421,0.2346,,,0.06117,0.12938,0.02357,,0.0656,4.35547,0.2296,963.17335,4195.07139,,-0.07229,,,0.99324,1.00127,1.00259
,1930,0.16381,0.34667,0.48951,,,0.5783,0.22321,0.1985,,,-0.00579,-0.09645,0.30805,,0.03627,4.47039,0.22369,883.69053,3950.43979,,-0.11512,,,0.9978,1.00043,0.99041
,1931,0.16429,0.35605,0.47966,,,0.56702,0.25016,0.18282,,,-0.09952,-0.13948,0.46228,,-0.00681,4.41104,0.2267,798.91052,3524.02732,,-0.07684,,,1.0092,0.99821,0.96709
,1932,0.16014,0.36951,0.47035,,,0.54791,0.26728,0.18481,,,0.0476,0.04519,-0.4983,,-0.05393,4.75376,0.21036,683.29116,3248.2018,,0.07705,,,0.98012,1.00388,0.96372
,1933,0.15856,0.37069,0.47075,,,0.55954,0.24936,0.1911,,,0.09492,0.02182,-0.41934,,-0.02158,5.15798,0.19387,670.5699,3458.78482,,0.03674,,,0.97922,1.00401,1.0171
,1934,0.17468,0.35317,0.47215,,,0.55948,0.2505,0.19001,,,0.05042,0.03417,-0.03643,,0.02985,4.69409,0.21303,760.71091,3570.84876,,0.05242,,,0.98955,1.00224,1.01804
,1935,0.18838,0.35887,0.45275,,,0.57537,0.23501,0.18962,,,0.07048,0.28129,-0.19962,,0.06881,4.4529,0.22457,849.32086,3781.943,,0.13345,,,1.02552,0.99426,0.99421
,1936,0.18431,0.36375,0.45193,,,0.55973,0.22457,0.2157,,,0.0557,0.23686,-0.04062,,0.07561,4.5797,0.21836,950.47053,4352.86632,,-0.04355,,,0.97466,1.00591,1.02597
,1937,0.20104,0.3458,0.45315,,,0.57539,0.22667,0.19794,,,0.05247,0.22514,-0.16644,,0.04828,4.14776,0.24109,1020.31742,4232.02798,,-0.03589,,,1.01491,0.99632,0.99344
